Measure,ReportingPeriodEndDate,AccommodationStatusCode,Number of Patients
Total number of people in adult mental health services who are on CPA,31/10/2018,MH04,1
Total number of people in adult mental health services who are on CPA,30/11/2018,MH04,4
Total number of people in adult mental health services who are on CPA,31/12/2018,MH04,2
Total number of people in adult mental health services who are on CPA,31/01/2019,MH04,2
Total number of people in adult mental health services who are on CPA,28/02/2019,MH04,2
Total number of people in adult mental health services who are on CPA,31/03/2019,MH04,1
Total number of people in adult mental health services who are on CPA,30/04/2019,MH04,2
Total number of people in adult mental health services who are on CPA,31/08/2019,MH04,1
Total number of people in adult mental health services who are on CPA,31/10/2019,MH04,3
Total number of people in adult mental health services who are on CPA,30/11/2019,MH04,1
Total number of people in adult mental health services who are on CPA,31/01/2020,MH04,1
Total number of people in adult mental health services who are on CPA,29/02/2020,MH04,1
Total number of people in adult mental health services who are on CPA,31/05/2020,MH04,1
Total number of people in adult mental health services who are on CPA,30/06/2020,MH04,1
Total number of people in adult mental health services who are on CPA,31/07/2020,MH04,4
Total number of people in adult mental health services who are on CPA,31/08/2020,MH04,1
Total number of people in adult mental health services who are on CPA,30/09/2020,MH04,1
Total number of people in adult mental health services who are on CPA,30/11/2020,MH04,1
Total number of people in adult mental health services who are on CPA,31/01/2021,MH04,1
Total number of people in adult mental health services who are on CPA,28/02/2018,MH09,2
Total number of people in adult mental health services who are on CPA,30/04/2019,MH09,1
Total number of people in adult mental health services who are on CPA,31/05/2019,MH09,1
Total number of people in adult mental health services who are on CPA,31/12/2019,MH09,1
Total number of people in adult mental health services who are on CPA,31/03/2020,MH09,1
Total number of people in adult mental health services who are on CPA,30/06/2020,MH09,1
Total number of people in adult mental health services who are on CPA,31/12/2020,MH09,1
Total number of people in adult mental health services who are on CPA,31/07/2018,OC96,1
Total number of people in adult mental health services who are on CPA,31/03/2019,OC96,1
Total number of people in adult mental health services who are on CPA,31/01/2020,OC96,2
Total number of people in adult mental health services who are on CPA,31/01/2018,OC97,1
Total number of people in adult mental health services who are on CPA,31/12/2018,OC97,2
Total number of people in adult mental health services who are on CPA,31/07/2020,OC97,1
Total number of people in adult mental health services who are on CPA,31/10/2020,OC97,1
Total number of people in adult mental health services who are on CPA,31/08/2018,OC98,1
Total number of people in adult mental health services who are on CPA,30/09/2018,OC98,1
Total number of people in adult mental health services who are on CPA,30/11/2018,OC98,2
Total number of people in adult mental health services who are on CPA,31/01/2019,OC98,1
Total number of people in adult mental health services who are on CPA,31/07/2019,OC98,1
Total number of people in adult mental health services who are on CPA,30/04/2020,OC98,1
Total number of people in adult mental health services who are on CPA,31/05/2018,OC99,2
Total number of people in adult mental health services who are on CPA,30/04/2019,OC99,1
Total number of people in adult mental health services who are on CPA,31/03/2020,OC99,1
Total number of people in adult mental health services who are on CPA,30/04/2020,OC99,2
Total number of people in adult mental health services who are on CPA,31/01/2018,SH00,1
Total number of people in adult mental health services who are on CPA,28/02/2018,SH00,1
Total number of people in adult mental health services who are on CPA,31/08/2018,SH00,1
Total number of people in adult mental health services who are on CPA,31/12/2018,SH00,1
Total number of people in adult mental health services who are on CPA,31/01/2019,SH00,2
Total number of people in adult mental health services who are on CPA,31/07/2019,SH00,1
Total number of people in adult mental health services who are on CPA,31/12/2019,SH00,1
Total number of people in adult mental health services who are on CPA,30/09/2020,SH00,1
Total number of people in adult mental health services who are on CPA,31/05/2018,SH01,1
Total number of people in adult mental health services who are on CPA,30/09/2018,SH01,1
Total number of people in adult mental health services who are on CPA,31/10/2018,SH01,1
Total number of people in adult mental health services who are on CPA,31/03/2019,SH01,1
Total number of people in adult mental health services who are on CPA,31/05/2019,SH01,1
Total number of people in adult mental health services who are on CPA,30/04/2020,SH01,1
Total number of people in adult mental health services who are on CPA,31/10/2020,SH01,1
Total number of people in adult mental health services who are on CPA,31/12/2020,SH01,1
Total number of people in adult mental health services who are on CPA,28/02/2018,SH02,1
Total number of people in adult mental health services who are on CPA,30/11/2018,SH02,1
Total number of people in adult mental health services who are on CPA,31/03/2019,SH02,1
Total number of people in adult mental health services who are on CPA,30/04/2020,SH02,2
Total number of people in adult mental health services who are on CPA,31/07/2020,SH02,1
Total number of people in adult mental health services who are on CPA,31/01/2018,SH03,2
Total number of people in adult mental health services who are on CPA,28/02/2018,SH03,1
Total number of people in adult mental health services who are on CPA,31/05/2018,SH03,1
Total number of people in adult mental health services who are on CPA,31/08/2018,SH03,1
